,TEY,NOX
5079,151.02,57.907
3593,133.15,70.316
6351,134.54,64.105
584,142.27,74.253
2053,136.46,64.45
5773,137.45,60.536
6041,151.6,60.932
4484,110.24,43.774
2322,159.02,60.144
12,132.96,74.717
2995,115.8,57.403
5758,133.49,60.766
196,171.57,64.151
3407,132.78,66.972
6567,121.81,64.457
1354,164.9,66.202
5672,153.78,70.083
1531,137.0,70.685
3301,151.24,53.104
137,173.67,62.076
4619,149.98,56.203
7021,121.77,71.385
2212,111.39,62.31
959,159.17,72.125
5253,112.5,59.902
3657,132.84,63.468
6978,162.82,57.473
6580,134.52,69.351
4044,134.52,58.786
576,133.93,63.195
1302,133.68,86.756
1352,135.19,76.652
720,161.13,68.677
1636,133.9,63.87
6816,154.81,75.974
2457,141.08,59.683
5353,147.9,54.907
6164,154.46,76.119
4652,147.78,55.703
4353,126.6,51.44
3312,127.98,46.21
5828,107.05,84.385
1136,159.97,70.613
4588,110.6,53.285
1450,162.67,71.216
3672,149.44,59.465
2245,133.73,67.084
3585,109.47,61.304
1655,111.63,64.079
3248,109.55,58.398
5022,110.77,57.728
548,165.29,60.36
6754,135.12,66.288
1051,164.45,73.84
5044,130.5,57.375
1976,114.76,65.608
3185,148.54,60.029
4072,141.99,52.7
3476,123.54,60.662
7017,130.5,64.158
5506,133.49,72.834
4299,129.46,47.78
7116,159.42,70.245
6348,119.51,74.756
2559,133.66,73.865
5333,133.88,57.233
6352,135.61,63.302
2897,148.58,56.671
303,132.61,58.528
5487,133.68,63.982
2537,152.86,59.347
3576,127.06,49.747
6963,112.65,66.059
3702,127.18,57.373
5148,111.86,48.824
1441,138.12,70.403
1107,134.31,83.66
571,167.75,61.866
1510,155.52,73.277
5573,135.09,62.499
5386,149.9,54.73
2584,152.99,63.41
1609,160.83,67.067
5091,110.79,53.672
3130,150.53,51.352
2056,131.69,68.47
3472,110.75,62.019
4553,134.78,59.094
2635,111.28,67.812
3911,133.55,63.645
1759,148.27,69.862
540,132.98,80.432
4498,133.84,71.184
4597,147.09,56.946
1730,148.09,68.229
3555,133.58,63.237
3882,127.63,43.035
3977,133.76,68.928
1340,111.23,84.573
3575,127.21,48.829
6141,102.21,94.47
7056,162.37,64.782
1148,132.4,82.585
6165,146.57,68.961
6941,136.56,79.904
5181,143.49,55.713
2959,148.96,56.553
3466,120.48,58.966
3481,127.64,51.564
4399,149.2,53.269
2702,132.56,67.647
3033,154.45,56.526
1835,151.91,58.163
6706,137.1,68.66
2383,133.72,68.689
5675,128.32,48.614
1114,162.42,71.446
1739,112.54,78.38
3717,133.11,63.761
6038,113.38,59.05
1117,143.81,80.324
294,160.66,61.166
1287,111.4,76.327
3850,109.17,70.36
6844,133.71,72.773
6813,109.96,68.513
6589,134.05,66.359
3416,109.7,53.686
129,162.4,69.515
49,167.18,61.46
5264,113.97,51.353
1507,139.54,82.369
1326,134.13,61.135
2464,133.75,69.269
6522,108.9,64.081
4902,122.51,48.744
2890,134.31,64.45
4964,147.45,56.244
6653,106.71,52.388
1583,152.22,78.693
3630,134.16,61.596
4339,147.62,56.633
6321,133.75,73.81
1622,110.71,66.783
5067,128.75,53.73
6173,118.9,62.77
2845,137.7,56.236
2386,119.77,53.303
5736,150.65,68.909
2283,117.13,77.214
7526,154.97,70.974
1210,159.7,69.16
7317,163.81,49.325
6100,122.85,63.884
231,164.85,66.462
3532,133.45,64.159
5294,132.77,58.95
670,142.16,83.869
1858,111.17,78.484
1886,154.46,70.497
4011,133.02,55.853
4067,132.43,67.668
7151,133.67,68.744
5670,122.05,66.197
694,134.22,59.773
1603,133.21,73.729
2133,133.69,73.747
1891,134.4,71.499
5873,130.16,49.006
3714,147.1,54.036
3891,123.28,58.561
3,114.72,82.67
6461,156.92,74.334
5474,123.36,59.056
4263,110.79,53.828
3587,112.91,53.89
1517,133.63,69.667
3230,133.46,67.036
2094,136.23,63.008
6025,131.1,59.137
6663,161.72,68.368
6956,134.74,74.78
1662,138.96,74.023
368,158.83,74.549
2434,154.74,61.582
5663,129.88,44.942
522,166.12,68.277
1102,107.53,91.36
5898,113.66,72.3
5955,127.27,52.671
4770,138.48,61.415
4676,146.7,54.068
2909,133.69,66.409
4528,129.17,48.126
622,135.43,65.324
5495,109.24,47.542
4268,148.33,56.239
570,166.1,64.413
362,162.24,53.283
3090,150.61,53.566
7040,164.17,71.632
6694,115.29,72.459
5888,116.02,52.076
1480,133.67,80.795
3035,132.75,60.831
1158,164.26,69.156
6625,134.17,61.869
4762,145.02,57.695
1011,134.42,63.463
2680,132.59,68.341
2255,135.01,63.157
274,133.68,76.085
6211,131.28,60.716
1285,166.75,64.4
460,134.51,83.043
918,133.96,70.835
2294,133.74,65.253
5808,155.89,42.191
3560,133.8,56.703
2047,145.26,69.286
7370,134.69,83.713
5310,135.33,64.07
6728,119.53,57.918
3805,118.51,49.408
1899,111.63,69.299
6924,108.67,92.153
1349,157.07,60.38
3197,128.84,51.885
5290,136.77,58.71
5893,128.37,49.604
6703,162.75,65.302
6486,135.0,71.629
7520,137.41,75.027
916,132.98,61.188
4026,154.02,53.54
1847,156.3,56.421
1588,133.36,77.877
2147,134.2,55.661
3124,148.87,53.186
4249,133.8,65.939
5542,123.05,52.748
1950,134.37,60.759
6020,143.87,73.272
3840,127.74,46.706
716,122.75,77.974
4211,127.01,47.352
30,109.23,96.214
4587,118.81,55.59
5075,149.79,58.634
2616,157.69,64.0
6975,109.49,74.784
4494,131.5,55.85
2752,133.68,71.446
6399,130.53,53.612
5298,110.04,55.803
5232,112.12,53.805
2912,134.53,67.885
3114,134.24,63.233
3941,109.84,50.997
4737,144.53,67.345
2886,152.82,57.272
2540,109.64,92.99
3255,110.75,56.139
4555,128.01,50.925
3266,127.34,55.668
7249,134.74,84.826
1971,135.2,67.788
6921,163.13,56.392
2816,129.1,52.41
4963,148.0,56.516
2408,151.84,66.442
3835,133.68,62.958
76,133.52,75.806
4609,133.59,79.839
2590,130.26,80.582
3050,134.04,67.78
1979,133.29,65.927
2400,133.76,64.622
468,134.03,91.37
5434,114.65,65.115
2224,125.75,63.486
589,135.48,76.56
1713,134.09,61.696
4323,147.42,55.03
3430,149.31,53.893
3022,107.57,57.694
220,158.54,66.374
346,168.51,58.232
2720,133.73,66.426
6943,134.66,77.703
199,134.04,85.034
4179,129.04,48.427
5708,129.09,47.889
1495,133.69,74.377
1842,155.75,62.273
5652,118.65,51.297
1329,135.09,59.076
2123,107.25,77.773
5710,134.11,58.818
708,163.58,65.761
2520,108.85,67.554
2182,109.81,66.865
4861,111.1,58.203
4548,118.37,50.977
4192,145.11,56.144
1749,155.97,69.107
1789,103.73,89.439
5465,131.28,45.585
7089,162.92,72.704
7223,166.63,65.042
5226,133.78,63.48
5134,112.17,52.171
1140,111.76,75.816
3649,132.86,62.025
4231,112.81,48.619
3219,133.79,67.819
155,173.57,61.519
1429,134.57,61.512
4867,113.73,46.676
2861,133.43,68.185
2326,134.77,58.362
2512,157.12,61.643
496,132.25,72.761
6264,132.51,58.978
2854,149.31,56.099
2231,154.73,68.339
4654,148.82,54.531
4216,146.35,54.596
5000,134.71,68.483
2791,108.33,56.35
1630,149.73,67.944
868,141.77,83.432
5423,129.98,45.395
6217,133.86,64.438
7126,159.51,51.862
6331,132.0,61.221
4304,110.98,47.468
7062,159.36,73.401
824,162.46,66.243
1343,134.24,59.84
6575,132.98,67.338
2918,134.06,66.514
3224,132.86,74.528
289,164.7,58.295
6122,129.73,57.467
2581,134.78,64.523
4456,148.25,58.415
5567,133.74,60.373
5919,112.34,73.514
624,130.04,64.542
5882,134.8,71.117
1061,135.57,79.591
2130,125.39,73.08
3904,120.26,53.519
6408,112.26,105.42
7051,107.74,71.192
6834,110.75,65.936
502,133.73,61.635
2711,141.26,55.602
6306,120.84,75.677
3180,128.07,52.758
2862,134.06,72.529
6317,152.47,82.902
2901,110.69,59.947
5012,110.76,55.081
2048,108.98,61.167
432,134.89,68.428
6603,130.44,52.411
6830,111.35,78.78
3209,128.06,57.769
1755,132.82,62.403
5620,109.7,51.718
6957,146.34,71.336
1732,133.81,72.193
3316,133.79,63.168
1586,133.24,60.937
668,166.61,67.757
4532,109.8,53.265
6273,107.81,50.605
7067,160.38,75.848
4780,111.77,52.991
5370,131.08,53.279
3258,148.78,63.232
1872,111.71,71.22
4141,137.76,61.856
4327,120.0,46.211
4643,111.75,53.195
6775,134.6,78.769
1605,160.2,64.555
797,135.04,78.595
991,133.66,82.425
1698,118.4,94.278
3448,135.31,68.755
4588,128.56,53.55
2494,110.18,53.769
425,125.8,65.732
3655,142.8,63.297
6159,115.51,64.772
990,134.32,61.599
6895,158.12,54.523
906,157.17,61.37
1900,112.98,81.075
4856,134.8,63.036
4613,110.36,50.66
700,113.92,67.907
6924,163.99,48.426
4705,130.08,55.38
7295,134.12,77.964
2009,155.22,65.037
6525,109.96,80.764
5260,132.75,61.696
502,164.7,69.293
1248,133.27,86.909
3675,146.41,50.185
6281,109.89,51.341
3177,149.54,61.47
5536,121.86,52.795
4311,150.51,56.115
5376,148.31,54.896
6504,115.46,85.729
585,129.04,63.895
2355,135.52,60.018
4325,147.72,54.831
6543,154.87,78.022
1408,134.66,60.38
1912,139.0,75.511
900,109.75,70.267
1876,134.0,58.533
1852,137.93,64.207
4768,139.18,61.44
2960,147.8,58.415
715,124.41,64.547
4039,133.01,62.221
3132,109.2,54.661
607,136.16,79.477
4501,146.25,54.007
653,144.24,79.504
910,135.29,63.191
3551,132.82,62.865
7035,134.74,77.711
4012,128.93,55.931
256,159.71,58.92
5348,130.22,51.889
1793,155.64,60.636
184,104.22,89.067
7608,112.0,85.564
1522,135.03,61.762
2747,133.8,66.113
48,167.29,61.507
5922,111.81,57.154
2841,133.5,62.898
5250,115.5,56.552
2205,108.52,62.705
7449,130.81,87.938
4740,134.79,67.353
6666,120.6,73.378
4285,132.93,66.188
601,121.13,69.825
33,135.81,66.206
957,149.62,71.826
5053,109.52,60.617
3106,151.97,54.686
2671,148.09,72.578
2312,133.01,67.888
5327,133.73,62.867
6374,121.95,72.406
6588,134.08,63.93
4140,134.28,56.91
214,162.99,70.22
967,133.65,86.591
2190,134.74,66.674
3829,134.2,65.592
6014,134.31,66.318
5649,133.75,60.164
4442,148.35,59.067
5064,149.58,54.574
6462,162.75,57.851
1306,109.76,71.592
64,125.81,94.277
5093,130.31,58.027
4453,146.16,59.413
5744,110.2,63.583
5650,123.1,48.704
960,119.52,59.358
2452,144.99,64.351
4797,111.86,56.157
2022,108.67,77.715
4975,131.37,58.415
1017,134.22,81.124
1147,134.27,73.301
6341,115.17,61.285
1782,155.44,67.108
5183,122.65,58.985
6740,153.45,69.344
3546,150.64,48.749
5473,148.86,54.027
6122,109.4,57.993
939,135.9,63.345
1993,153.48,65.242
950,162.78,66.434
1997,134.6,67.62
3684,133.69,60.153
2776,108.74,60.509
1754,158.78,61.93
2883,156.74,64.321
1054,154.78,62.535
5576,109.36,63.381
4584,121.86,56.092
131,132.7,74.49
627,134.68,81.78
2762,141.64,61.896
1010,132.81,85.094
3487,133.82,59.184
1238,135.21,65.264
925,134.5,62.29
4013,111.36,59.35
2725,151.81,64.961
5492,117.44,45.13
5593,133.75,67.138
3082,152.11,59.63
699,156.95,74.75
4556,111.74,55.143
7050,135.75,73.144
1217,134.09,77.635
2249,134.3,75.812
5943,134.13,100.06
3107,151.09,55.265
2583,110.71,74.424
765,112.71,108.88
6012,117.67,57.366
612,133.66,82.845
4934,109.74,60.019
4771,134.79,63.957
5644,137.95,62.413
1646,107.6,75.619
1891,157.04,70.086
1869,134.92,66.289
1462,138.25,71.581
4241,144.18,61.518
6073,109.24,64.907
4900,110.93,53.731
1598,110.71,75.064
4814,150.43,59.989
1896,111.64,72.174
4415,144.76,54.287
2501,133.73,66.499
855,134.81,76.819
5998,121.22,56.197
5061,133.74,70.494
1105,134.42,82.814
371,160.91,80.91
1037,134.66,77.129
4822,121.59,54.064
3196,127.01,51.301
2621,133.76,71.876
6488,135.39,72.79
4740,144.92,70.628
327,132.79,61.423
2422,111.48,66.716
2438,133.71,73.432
4941,133.54,59.18
5875,151.75,60.089
6558,133.7,79.983
6525,168.52,60.827
5451,122.37,56.591
1161,116.64,73.62
1390,134.76,61.599
87,133.57,82.062
3486,103.24,65.803
2168,151.03,71.434
5465,135.21,60.395
1351,137.98,75.121
7303,134.26,80.29
1126,133.78,83.252
4770,144.27,53.413
4255,119.81,47.616
4430,134.38,63.38
3686,133.97,55.934
4074,133.76,57.371
3019,108.27,57.205
2608,108.78,68.438
4364,144.92,57.827
4922,111.48,54.91
3773,128.71,48.542
3423,112.47,57.143
1768,158.23,61.888
1925,135.04,62.074
1369,135.08,73.457
653,158.3,63.266
1595,110.69,69.807
2435,133.71,70.916
5064,132.33,57.357
1810,120.53,79.589
5411,147.93,53.949
503,135.39,61.431
6164,109.53,64.628
4986,111.81,56.312
4442,126.93,51.827
2174,103.53,61.59
3930,109.79,50.34
2256,121.48,59.723
6391,122.04,56.472
7001,109.11,90.654
5002,147.78,53.937
4665,134.71,63.076
6924,103.33,77.575
6726,159.47,65.805
2772,130.81,63.719
6389,130.32,53.9
219,162.29,60.753
3638,146.82,46.956
235,160.35,66.484
1279,126.32,72.056
3932,126.96,54.476
6795,135.14,65.933
5733,130.66,56.651
3192,134.47,54.276
1470,133.62,72.648
5712,118.35,48.259
2834,150.92,66.09
1606,150.71,67.347
3379,115.99,59.82
1981,135.28,77.194
1579,138.66,64.349
5719,139.02,67.663
4841,133.54,74.457
6030,155.38,81.492
4833,134.04,69.297
2538,132.73,69.075
323,159.55,60.166
7205,134.06,73.096
3014,122.2,67.009
28,168.31,60.902
7109,165.91,61.855
3440,129.71,50.689
6271,134.61,75.755
2811,148.32,63.108
7188,166.75,63.798
5481,152.14,55.212
112,133.78,65.855
2933,153.46,55.539
2572,140.64,60.119
1731,160.54,75.33
5017,134.21,74.579
549,163.71,77.866
4485,110.96,45.632
3211,115.17,82.672
6075,109.66,62.332
5422,116.03,52.579
5243,134.23,66.751
2504,110.77,66.694
7163,162.93,68.048
1877,134.33,72.262
2529,133.37,72.813
5339,133.8,60.74
2162,134.74,71.269
328,156.79,68.142
3309,127.84,48.041
5682,120.78,47.104
3591,111.51,49.71
3450,109.51,58.963
4092,149.72,53.739
2386,134.57,62.756
437,133.49,79.835
1986,157.44,61.702
4635,146.81,70.226
7464,133.9,77.151
6077,107.47,67.47
5879,133.8,72.63
5320,149.49,55.841
4227,128.76,50.11
2346,133.01,66.111
3967,112.58,39.962
1914,109.17,69.777
6501,131.94,64.237
5414,145.64,56.439
4279,147.96,55.367
2040,132.86,74.419
5196,147.17,52.97
2855,133.77,74.806
2461,135.19,71.469
654,158.94,73.66
4149,134.76,58.176
1203,141.73,77.197
4861,122.18,50.397
598,133.78,81.021
4042,135.39,68.818
3680,148.43,49.303
1361,133.03,88.623
6044,129.77,54.935
5648,133.74,62.886
4424,128.23,49.621
5600,110.07,62.62
4335,134.56,61.439
551,165.56,81.534
2309,160.27,58.732
3587,150.39,46.376
367,159.29,75.066
3105,153.06,55.622
2612,155.79,60.157
7145,172.54,80.54
3729,102.81,71.185
7067,158.76,51.122
7163,131.29,68.611
2115,134.11,61.819
4521,144.66,52.764
5202,111.78,58.42
2037,135.03,70.981
6899,121.92,73.757
1155,131.18,68.555
4539,129.04,52.574
7119,110.78,113.87
1268,168.73,65.641
5063,135.29,66.098
3230,111.13,66.152
7289,133.74,83.379
2163,103.73,90.133
5251,111.62,62.627
1093,134.23,84.311
4954,131.2,58.764
1472,133.23,84.866
7082,143.49,79.494
5246,144.05,54.117
3602,132.79,64.441
394,155.96,75.574
3512,132.81,70.085
2342,133.83,60.659
3024,110.07,57.176
1187,133.69,74.096
278,163.07,59.981
4333,134.75,70.017
7555,133.43,73.572
636,131.34,61.826
2036,135.2,70.015
2522,132.75,71.56
1804,153.04,70.807
6895,109.64,104.81
2542,123.6,70.689
2547,142.0,57.624
2520,136.34,51.826
6567,130.54,61.018
4038,105.15,56.414
5156,146.39,55.784
5288,134.2,61.489
7273,134.87,82.305
4196,137.83,73.125
7097,130.78,65.475
1966,114.78,75.717
6709,133.51,63.777
3262,151.29,50.566
4356,132.98,65.866
5861,134.37,66.947
1290,111.21,89.059
2753,122.24,61.392
181,134.58,79.546
5340,113.28,54.023
6931,133.6,61.783
1277,151.56,81.574
4835,111.54,55.052
3669,133.22,60.806
1608,161.57,68.167
3123,133.73,64.139
3527,147.35,61.967
4593,110.73,48.484
4338,146.06,53.685
626,134.96,67.623
24,166.0,60.255
6483,123.29,62.634
1421,134.55,75.543
6356,151.11,79.465
5380,150.19,56.049
2255,118.44,61.647
4899,111.65,54.41
4349,128.64,50.691
3008,108.26,54.359
835,148.59,70.692
3275,134.27,58.966
2989,127.94,53.875
4452,114.36,62.486
3580,133.76,63.158
2110,152.43,71.966
571,132.78,78.05
6270,133.68,76.057
1566,133.86,60.69
6684,124.33,82.585
1521,132.97,74.907
3102,138.69,58.237
6970,108.81,76.056
171,171.59,63.674
2090,118.05,68.885
3268,152.45,52.815
405,134.73,77.933
1092,159.8,61.832
6194,134.22,65.728
2744,134.82,62.564
2814,108.35,59.126
3834,134.47,64.471
1697,162.46,66.242
2590,139.61,69.801
6792,134.04,64.112
167,134.19,83.13
1550,143.3,63.749
839,133.95,78.235
6124,135.74,64.484
257,161.16,58.7
6687,135.02,88.277
986,131.8,68.713
5270,144.29,55.658
1342,110.53,111.05
6705,132.57,57.389
1948,133.82,80.264
2105,135.3,65.783
2247,136.64,65.379
4233,133.86,65.948
3003,149.41,60.298
5805,147.42,99.053
373,160.4,69.34
3189,109.28,59.638
6692,128.21,57.475
2843,133.84,64.159
5885,111.58,71.149
6167,133.55,61.991
6379,111.57,97.188
391,160.61,66.861
5132,133.77,68.475
3770,127.71,43.548
4101,145.36,56.051
3362,132.77,57.511
1455,110.71,77.761
5040,111.97,48.756
2658,155.66,64.973
1404,109.26,108.49
1486,152.45,72.471
1635,163.09,62.352
3767,133.8,62.942
858,133.43,74.445
7313,166.64,49.785
1802,134.44,63.081
4074,144.13,53.844
4846,111.64,46.996
1746,134.32,59.179
1992,112.84,68.354
2272,134.27,70.174
6040,128.99,58.159
3421,136.41,57.485
2234,133.45,71.351
2164,121.78,65.835
3832,150.62,47.013
6337,105.36,103.32
6466,130.19,53.008
6437,101.78,71.495
1456,138.54,67.668
4047,128.51,51.719
2858,133.6,55.571
6741,128.5,61.105
5453,123.48,55.375
5384,111.84,53.832
1811,133.89,58.127
7038,133.36,76.229
6078,156.81,64.271
1748,154.19,84.046
24,122.33,105.73
7019,130.25,70.826
7266,133.66,77.314
4997,149.86,54.183
3171,126.28,60.692
4072,110.65,45.341
5950,129.33,48.75
3290,150.63,57.206
6852,133.18,67.42
5754,150.76,95.116
4224,134.83,66.76
5030,145.4,56.536
3263,150.24,57.412
2271,134.25,68.442
4920,134.06,62.642
4068,120.02,55.731
784,166.47,63.273
5535,122.72,52.697
2193,134.99,66.525
2101,150.48,71.436
3165,147.76,51.371
444,157.54,62.087
5006,110.76,57.956
1277,133.68,88.022
4847,135.02,67.103
1235,132.72,73.938
997,135.58,60.927
2237,131.89,73.262
448,157.39,75.508
7168,162.65,68.555
2761,153.71,59.903
198,158.78,63.205
4396,113.37,49.534
3464,133.79,60.634
6376,134.16,63.907
6477,134.37,69.817
5745,135.95,64.267
1593,138.3,65.324
1695,133.67,80.743
1003,128.33,74.108
1338,110.15,86.022
1770,154.81,68.698
6292,134.9,68.684
2111,133.69,66.352
4301,144.55,53.213
2116,112.08,69.422
2561,155.08,57.802
5364,104.91,61.443
1022,160.42,69.348
6267,133.71,73.464
158,168.23,66.506
888,158.54,68.437
1917,133.69,74.388
2800,122.44,61.025
2160,159.74,61.332
4824,130.55,63.301
4626,122.52,44.831
304,131.48,58.794
6614,137.0,63.129
1012,127.1,85.726
2693,156.11,60.382
3131,116.91,60.043
712,162.43,65.577
5393,147.3,54.434
3799,109.35,50.807
6254,160.36,50.042
1895,133.74,71.973
3605,153.3,50.09
6983,132.22,73.948
941,130.01,71.582
3195,127.81,51.056
3476,132.97,62.697
3801,132.85,60.139
5724,134.67,64.805
3161,110.75,61.044
3084,111.23,60.82
2574,142.14,58.976
5502,129.99,40.423
867,132.78,81.46
5146,149.4,54.717
1778,139.47,72.211
4196,133.72,53.358
6251,131.73,64.272
2315,124.09,74.73
5082,152.85,58.962
3208,151.44,54.455
5086,133.0,60.264
5232,130.66,53.026
6118,158.39,66.897
2227,135.62,63.883
3278,135.03,59.705
3366,128.47,47.743
5930,103.73,48.592
5391,145.17,55.701
1791,134.73,60.658
3156,134.15,67.638
806,123.5,87.503
908,135.8,87.164
4927,120.9,45.954
596,120.58,113.26
2616,122.74,57.771
6940,162.0,58.732
3317,128.61,48.573
5601,134.73,64.675
7207,109.58,96.56
1103,107.79,92.097
5981,159.33,72.823
4529,146.07,55.239
5916,109.7,78.393
6715,101.48,62.535
2892,138.24,50.997
558,134.98,76.218
819,134.1,77.911
1984,157.96,62.901
4102,109.16,57.381
4069,149.81,55.695
217,139.06,81.817
3111,133.43,61.446
4679,135.13,64.376
7585,109.55,83.013
187,133.72,78.81
5142,148.62,56.83
5091,134.74,67.406
5652,133.75,60.061
1594,132.66,74.708
6532,130.21,57.083
2922,129.65,64.566
3249,150.85,54.418
5780,140.53,96.746
2653,132.76,61.82
3892,133.67,61.932
1285,134.15,58.832
1319,133.97,59.297
4598,133.07,68.622
1360,122.92,113.53
4751,122.06,46.148
6909,130.16,68.848
500,129.36,72.21
4105,107.6,61.813
6718,157.97,54.204
2088,134.48,61.241
2806,109.82,63.494
435,166.83,72.554
240,159.65,64.596
2668,132.77,69.529
6486,154.17,74.004
6298,130.74,58.121
1969,108.67,68.382
3171,127.83,52.046
4636,110.59,57.745
3209,109.26,54.38
1555,134.19,77.308
5823,146.73,64.218
5169,128.57,54.983
1020,162.99,65.562
3913,109.92,56.157
5605,137.8,59.887
3001,146.69,64.283
2770,108.83,56.315
3806,110.7,46.115
6012,143.31,71.628
4390,148.76,52.395
3511,133.62,61.979
1753,157.56,67.012
5332,136.25,65.536
2628,112.73,71.913
1400,163.91,60.38
7110,163.2,49.719
4142,133.44,62.745
5635,108.07,52.401
5220,133.14,52.843
3663,133.79,59.635
4059,128.43,50.686
2436,134.94,71.789
7148,156.59,71.845
6317,112.86,56.801
379,157.66,57.928
781,131.19,81.464
3781,110.95,52.228
5077,139.76,61.28
2798,133.73,65.53
6981,154.85,61.159
945,162.76,59.008
5497,111.8,61.04
1189,134.42,77.913
1926,133.72,77.222
5559,144.77,60.979
5362,149.66,54.989
4167,134.48,58.323
292,134.67,82.019
864,123.77,64.282
5385,133.85,73.394
4826,133.03,61.475
5117,148.91,56.062
4287,129.14,49.412
1159,159.69,67.988
6145,109.34,58.006
3485,133.81,62.933
1676,157.97,63.832
2996,109.62,55.077
6445,101.21,82.89
3798,109.88,52.253
2741,132.74,67.14
3239,109.17,55.336
5019,131.26,53.602
4581,128.85,53.016
4493,128.95,54.151
2107,154.34,66.793
4148,129.19,55.163
2876,140.84,62.477
1440,157.36,79.266
3600,151.1,47.961
2217,135.82,60.78
1860,137.84,66.101
3785,152.44,64.362
2634,124.5,68.62
3854,148.16,46.979
3106,133.82,64.441
4475,110.81,53.212
3510,119.31,53.106
3958,132.81,73.929
1815,129.32,92.533
6111,130.45,56.53
403,134.75,77.711
1735,133.91,85.452
3518,112.77,54.073
1845,122.61,84.073
1914,157.65,64.454
942,162.26,64.071
2127,111.77,76.166
1696,133.96,61.81
4240,111.06,50.775
1302,109.65,115.62
5111,128.61,54.662
671,164.26,68.694
1424,161.69,78.867
1765,133.29,63.412
5239,112.75,56.337
846,130.0,80.551
2549,117.56,66.202
574,133.5,62.679
4795,122.79,54.036
1491,136.48,64.286
293,161.74,61.094
4615,110.36,54.71
1945,159.83,64.382
4625,112.99,55.249
3475,134.24,66.256
1171,133.63,83.337
984,133.16,59.98
3449,148.65,54.915
6403,130.33,51.257
1659,137.98,79.327
2946,153.34,51.525
49,133.68,74.382
6790,123.24,66.792
926,108.04,96.268
6740,123.93,54.084
1236,133.78,70.141
3666,121.06,56.676
1041,134.66,74.315
6076,134.87,64.217
1347,133.55,60.38
1053,154.82,61.615
6083,130.54,56.072
4334,115.69,59.032
2630,108.79,59.213
3028,147.63,54.603
4610,134.23,79.352
1761,134.59,80.28
4939,109.66,49.063
6522,133.18,64.009
6762,135.09,62.011
4779,141.94,59.271
786,133.99,75.402
5491,148.68,54.023
3816,128.18,46.204
6085,150.55,60.794
3377,128.08,45.843
6709,139.64,79.116
28,133.52,82.355
492,165.77,70.515
5653,151.94,71.88
4402,148.96,53.738
2842,109.64,61.116
6406,130.78,50.658
3225,133.86,65.729
3621,133.71,70.929
6059,155.57,72.325
1170,134.46,60.05
1625,135.8,61.598
3044,148.06,58.573
1833,132.65,74.566
1378,129.33,81.284
7114,160.27,70.879
1767,157.76,63.456
1193,109.36,106.34
650,167.39,68.152
703,135.93,60.168
2546,121.37,72.355
1801,133.9,67.231
7016,145.43,66.595
6322,132.18,70.834
5328,108.82,52.941
26,167.79,60.011
3081,134.63,63.349
1795,134.72,64.137
867,130.11,65.767
911,109.32,87.824
